"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11840","loginTest","Default Suite","Mon May 05 18:42:29 EEST 2025","passed","Mon May 05 18:42:40 EEST 2025","Tests.Login","NTIPractises","Tests.Login","loginTest"
"","6","testD_runMultipleTimes","Default Suite","Sun May 04 18:28:50 EEST 2025","passed","Sun May 04 18:28:50 EEST 2025","TestControlDemo","NTIPractises","TestControlDemo","testD_runMultipleTimes"
"","678","loginTest","Default Suite","Mon May 05 19:35:42 EEST 2025","passed","Mon May 05 19:35:43 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","loginTest"
"","10","beforeClass","Default Suite","Mon May 05 18:06:29 EEST 2025","broken","Mon May 05 18:06:29 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","beforeClass"
"","668","invalidLogin","All Test Suite","Wed May 07 17:52:35 EEST 2025","passed","Wed May 07 17:52:36 EEST 2025","Tests.LoginTest","Login Test","Tests.LoginTest","invalidLogin"
"","791","loginTest","Default Suite","Sun May 04 18:15:06 EEST 2025","passed","Sun May 04 18:15:07 EEST 2025","Login","NTIPractises","Login","loginTest"
"","1","testB_printLoginURL","Default Suite","Sun May 04 18:28:50 EEST 2025","passed","Sun May 04 18:28:50 EEST 2025","TestControlDemo","NTIPractises","TestControlDemo","testB_printLoginURL"
"","0","testC_disabledTest","Default Suite","Sun May 04 18:28:41 EEST 2025","unknown","Sun May 04 18:28:41 EEST 2025","TestControlDemo","NTIPractises","TestControlDemo","testC_disabledTest"
"","579","verifyProductPage","Default Suite","Mon May 05 19:46:56 EEST 2025","passed","Mon May 05 19:46:56 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","verifyProductPage"
"","8914","testLogin","Default Suite","Sun May 04 13:52:06 EEST 2025","passed","Sun May 04 13:52:15 EEST 2025","Login","NTIPractises","Login","testLogin"
"","0","completeCheckoutAndVerify","Default Suite","Mon May 05 19:23:35 EEST 2025","skipped","Mon May 05 19:23:35 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","completeCheckoutAndVerify"
"","3","fillCustomerInfo","Default Suite","Mon May 05 19:23:35 EEST 2025","skipped","Mon May 05 19:23:35 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","fillCustomerInfo"
"","6034","setup","Default Suite","Mon May 05 18:43:42 EEST 2025","broken","Mon May 05 18:43:48 EEST 2025","Tests.Login","NTIPractises","Tests.Login","setup"
"","64","proceedToCheckout","Default Suite","Mon May 05 19:23:35 EEST 2025","broken","Mon May 05 19:23:35 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","proceedToCheckout"
"","786","loginTest","Default Suite","Mon May 05 18:42:41 EEST 2025","passed","Mon May 05 18:42:41 EEST 2025","Tests.Login","NTIPractises","Tests.Login","loginTest"
"","1551","loginTest","All Test Suite","Wed May 07 18:15:30 EEST 2025","passed","Wed May 07 18:15:32 EEST 2025","Tests.LoginTest","Login Test","Tests.LoginTest","loginTest"
"","34","verifySecureArea","Default Suite","Mon May 05 18:42:42 EEST 2025","failed","Mon May 05 18:42:42 EEST 2025","Tests.Login","NTIPractises","Tests.Login","verifySecureArea"
"","50","verifySecureArea","Default Suite","Sun May 04 18:15:07 EEST 2025","failed","Sun May 04 18:15:07 EEST 2025","Login","NTIPractises","Login","verifySecureArea"
"","2","beforeTest","Default Suite","Mon May 05 18:26:36 EEST 2025","broken","Mon May 05 18:26:36 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","beforeTest"
"","11123","loginTest","Default Suite","Sun May 04 18:14:55 EEST 2025","passed","Sun May 04 18:15:06 EEST 2025","Login","NTIPractises","Login","loginTest"
"","6294","LocateFrame","Default Suite","Tue May 06 09:54:22 EEST 2025","broken","Tue May 06 09:54:28 EEST 2025","Tests.Frames","NTIPractises","Tests.Frames","LocateFrame"
"","789","loginTest1","Default Suite","Mon May 05 19:46:55 EEST 2025","passed","Mon May 05 19:46:56 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","loginTest1"
"","385","addToCartAndVerify","Default Suite","Mon May 05 19:50:00 EEST 2025","broken","Mon May 05 19:50:01 EEST 2025","Tests.SauceDemoTest","NTIPractises","Tests.SauceDemoTest","addToCartAndVerify"
"","6003","testA_verifyTitle","Default Suite","Sun May 04 18:28:50 EEST 2025","passed","Sun May 04 18:28:56 EEST 2025","TestControlDemo","NTIPractises","TestControlDemo","testA_verifyTitle"
